var,value
Ln_R_29_2,9.35
Ln_R_30_2,10.33
Ln_R_31_2,9.25
Ln_R_32_2,9.25
Ln_R_33_2,8.9
Ln_R_34_2,9.34
Ln_R_35_2,9.1
Ln_R_36_2,8.83
Ln_R_37_2,9.60038913
Ln_N_29_10,4.457040983
Ln_N_29_9,5.080716843
Ln_N_29_8,6.089846002
Ln_N_29_7,7.338815261
Ln_N_29_6,6.99089631
Ln_N_29_5,7.729474361
Ln_N_29_4,8.91766365
Ln_N_29_3,8.745847967
Ln_F_29,-0.074049785
Ln_F_30,-0.447722087
Ln_F_31,-0.286073846
Ln_F_32,-0.677994969
Ln_F_33,-0.712348522
Ln_F_34,-0.779423828
Ln_F_35,-0.413348272
Ln_F_36,-0.637909545
Ln_F_37,-0.388257536
Ln_Sel50,1.223300207
Ln_Sel95,1.47857668
Ln_q,-2.098085895
Lna,9.255596671
Lnb,-12.50758649
